Common name,Species,Rarity
Cassin's Finch,Haemorhous cassinii,
Purple Finch,Haemorhous purpureus,
Grey-capped Greenfinch,Chloris sinica,Rare/Accidental
Common Redpoll,Acanthis flammea,
Arctic Redpoll,Acanthis hornemanni,
Red Crossbill,Loxia curvirostra,
White-winged Crossbill,Loxia leucoptera,
Pine Siskin,Spinus pinus,
American Goldfinch,Spinus tristis,
Lesser Goldfinch,Spinus psaltria,Rare/Accidental
,,
PASSERIFORMES: Calcariidae,,
Lapland Longspur,Calcarius lapponicus,
Chestnut-collared Longspur,Calcarius ornatus,Rare/AccidentalÿVulnerable
Smith's Longspur,Calcarius pictus,
McCown's Longspur,Rhynchophanes mccownii,Rare/Accidental
Snow Bunting,Plectrophenax nivalis,
McKay's Bunting,Plectrophenax hyperboreus,Rare/Accidental
,,
PASSERIFORMES: Emberizidae,,
Pine Bunting,Emberiza leucocephalos,Rare/Accidental
Pallas's Reed Bunting,Schoeniclus pallasi,Rare/Accidental
Rustic Bunting,Schoeniclus rusticus,Rare/AccidentalÿVulnerable
Little Bunting,Schoeniclus pusillus,Rare/Accidental
,,
PASSERIFORMES: Passerellidae,,
Chipping Sparrow,Spizella passerina,
Clay-colored Sparrow,Spizella pallida,
Field Sparrow,Spizella pusilla,Rare/Accidental
Brewer's Sparrow,Spizella breweri,
Black-throated Sparrow,Amphispiza bilineata,Rare/Accidental
Lark Sparrow,Chondestes grammacus,
Lark Bunting,Calamospiza melanocorys,Rare/Accidental
Grasshopper Sparrow,Ammodramus savannarum,
Green-tailed Towhee,Pipilo chlorurus,Rare/Accidental
Spotted Towhee,Pipilo maculatus,
Dark-eyed Junco,Junco hyemalis,
Harris's Sparrow,Zonotrichia querula,Near-threatened
White-throated Sparrow,Zonotrichia albicollis,
White-crowned Sparrow,Zonotrichia leucophrys,
Golden-crowned Sparrow,Zonotrichia atricapilla,
Fox Sparrow,Passerella iliaca,
American Tree Sparrow,Passerella arborea,
Le Conte's Sparrow,Ammospiza leconteii,
Nelson's Sparrow,Ammospiza nelsoni,
Sagebrush Sparrow,Artemisiospiza nevadensis,Rare/Accidental
Bell's Sparrow,Artemisiospiza belli,Rare/Accidental
Vesper Sparrow,Pooecetes gramineus,
Savannah Sparrow,Passerculus sandwichensis,
Baird's Sparrow,Centronyx bairdii,Rare/Accidental
Song Sparrow,Melospiza melodia,
Lincoln's Sparrow,Melospiza lincolnii,
Swamp Sparrow,Melospiza georgiana,
,,
PASSERIFORMES: Parulidae,,
Ovenbird,Seiurus aurocapilla,
Northern Waterthrush,Parkesia noveboracensis,
Golden-winged Warbler,Vermivora chrysoptera,Rare/AccidentalÿNear-threatened
Blue-winged Warbler,Vermivora cyanoptera,Rare/Accidental
Black-and-white Warbler,Mniotilta varia,
Prothonotary Warbler,Protonotaria citrea,Rare/Accidental
Tennessee Warbler,Leiothlypis peregrina,
Orange-crowned Warbler,Leiothlypis celata,
Lucy's Warbler,Leiothlypis luciae,Rare/Accidental
Nashville Warbler,Leiothlypis ruficapilla,
Connecticut Warbler,Oporornis agilis,
MacGillivray's Warbler,Geothlypis tolmiei,
Mourning Warbler,Geothlypis philadelphia,
Kentucky Warbler,Geothlypis formosa,Rare/Accidental
Common Yellowthroat,Geothlypis trichas,
Hooded Warbler,Setophaga citrina,Rare/Accidental
American Redstart,Setophaga ruticilla,
Cape May Warbler,Setophaga tigrina,
Northern Parula,Setophaga americana,Rare/Accidental
Magnolia Warbler,Setophaga magnolia,
Bay-breasted Warbler,Setophaga castanea,
Blackburnian Warbler,Setophaga fusca,Rare/Accidental
Yellow Warbler,Setophaga petechia,
Chestnut-sided Warbler,Setophaga pensylvanica,Rare/Accidental
Blackpoll Warbler,Setophaga striata,Near-threatened
Black-throated Blue Warbler,Setophaga caerulescens,Rare/Accidental
Palm Warbler,Setophaga palmarum,
Pine Warbler,Setophaga pinus,Rare/Accidental
Yellow-rumped Warbler,Setophaga coronata,
Yellow-throated Warbler,Setophaga dominica,Rare/Accidental
Prairie Warbler,Setophaga discolor,Rare/Accidental
Black-throated Gray Warbler,Setophaga nigrescens,
Townsend's Warbler,Setophaga townsendi,
Hermit Warbler,Setophaga occidentalis,Rare/Accidental
Black-throated Green Warbler,Setophaga virens,
Canada Warbler,Cardellina canadensis,
Wilson's Warbler,Cardellina pusilla,
Painted Redstart,Myioborus pictus,Rare/Accidental
,,
PASSERIFORMES: Icteridae,,
Yellow-breasted Chat,Icteria virens,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,
Bobolink,Dolichonyx oryzivorus,
Western Meadowlark,Sturnella neglecta,
Bullock's Oriole,Icterus bullockii,
Baltimore Oriole,Icterus galbula,
Hooded Oriole,Icterus cucullatus,Rare/Accidental
Orchard Oriole,Icterus spurius,Rare/Accidental
Red-winged Blackbird,Agelaius phoeniceus,
Brown-headed Cowbird,Molothrus ater,
Rusty Blackbird,Euphagus carolinus,Vulnerable
Brewer's Blackbird,Euphagus cyanocephalus,
Common Grackle,Quiscalus quiscula,Near-threatened
Great-tailed Grackle,Quiscalus mexicanus,Rare/Accidental
,,
PASSERIFORMES: Cardinalidae,,
Rose-breasted Grosbeak,Pheucticus ludovicianus,
Black-headed Grosbeak,Pheucticus melanocephalus,
Dickcissel,Spiza americana,Rare/Accidental
Indigo Bunting,Passerina cyanea,Rare/Accidental
Blue Grosbeak,Passerina caerulea,Rare/Accidental
Lazuli Bunting,Passerina amoena,
Painted Bunting,Passerina ciris,Rare/Accidental
Scarlet Tanager,Piranga olivacea,Rare/Accidental
Summer Tanager,Piranga rubra,Rare/Accidental
Western Tanager,Piranga ludoviciana,
Northern Cardinal,Cardinalis cardinalis,Rare/Accidental
,,
PASSERIFORMES: Paridae,,
Black-capped Chickadee,Poecile atricapillus,
Mountain Chickadee,Poecile gambeli,
Boreal Chickadee,Poecile hudsonicus,
Chestnut-backed Chickadee,Poecile rufescens,
,,
PASSERIFORMES: Alaudidae,,
